name,price,offer_price,type,image,creation_date,category,brand
35214 RUSIAN ARMY CREW,$ 17.990, , ,www.mirax.cl/productos/n20001a30000/n20001a21000/n20401a20500/n20470.jpg,2022-10-25 20:51:22 UTC, , 
"6870 BATTLEFIELD ACCESSORIES WOOD-TYPE ( 56PCS TO BUILD BARRELS, RIFLES, WATCH TOWER & R",$ 7.990, , ,www.mirax.cl/productos/n80001a90000/n89001a90000/n89601a89700/n89696.jpg,2022-10-25 20:51:46 UTC, , 
"ITALERI 6870 1:32 BATTLEFIELD ACCESSORIES WOOD-TYPE ( 56PCS TO BUILD BARRELS, RIFLES, WATCH TOWER & R",$ 7.990, , ,www.mirax.cl/productos/n80001a90000/n89001a90000/n89601a89700/n89696.jpg,2022-10-25 20:52:12 UTC, , 
